"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"736",593576,"Hector Neris","1126","65.4","0.169","0.113","0.220","0.281","0.222","0.250","0.191","27","160","87.7","11.7","1519","86.9","86.23","163","386","347","-0.7","5.77","111","150","116","150","300","325","295"
"735",547888,"Masahiro Tanaka","2787","26.4","0.254","0.154","0.265","0.408","0.284","0.310","0.287","61","240","88.9","0.6","1589","86.8","85.96","86","461","273","-0.8","5.59","109","154","116","149","292","324","291"
"715",456701,"Homer Bailey","2836","25.2","0.188","0.124","0.273","0.312","0.218","0.208","0.185","35","186","87.6","5.8","1125","84.1","83.79","149","388","327","-0.3","6.03","114","150","124","143","302","326","305"
"675",592332,"Kevin Gausman","1671","40.4","0.233","0.088","0.337","0.321","0.256","0.240","0.201","37","159","85.2","12.5","1593","83.5","83.22","155","380","292","-0.3","6.05","110","150","115","148","303","322","295"
"633",434671,"Anibal Sanchez","2690","23.5","0.237","0.172","0.278","0.409","0.290","0.263","0.217","44","186","84.8","8.2","1717","84.3","84.45","124","382","249","0.1","6.20","116","151","114","148","301","316","297"
"559",543118,"Oliver Drake","941","59.4","0.195","0.153","0.250","0.347","0.235","0.246","0.209","23","118","88.7","0.7","1089","84.0","83.81","104","275","282","-0.2","6.26","110","156","114","148","294","325","300"
"483",673633,"Yoshihisa Hirano","934","51.7","0.203","0.076","0.293","0.280","0.237","0.233","0.187","24","118","84.5","3.3","1271","83.8","83.22","105","265","215","-0.6","5.72","111","152","117","150","301","328","302"
"477",543606,"Jake Odorizzi","2787","17.1","0.244","0.102","0.305","0.346","0.276","0.282","0.230","31","127","86.3","10.2","1489","85.2","84.52","65","237","238","-0.7","5.69","111","157","115","149","295","327","299"
"446",630023,"Yonny Chirinos","1985","22.5","0.133","0.080","0.210","0.212","0.158","0.176","0.154","15","113","82.1","13.5","1294","85.9","85.32","91","216","226","-0.6","5.90","112","164","118","149","290","324","300"
"430",489446,"Kirby Yates","1021","42.1","0.153","0.025","0.269","0.178","0.181","0.210","0.169","18","118","85.3","0.8","1399","86.3","85.28","78","227","201","-1.0","5.58","117","152","116","151","303","326","305"
"325",453284,"Blake Parker","1020","31.9","0.161","0.161","0.213","0.322","0.224","0.272","0.205","14","87","83.8","9.1","1045","79.9","80.12","55","151","172","0.2","6.45","109","151","116","148","298","325","296"
"284",448855,"Junior Guerra","1392","20.4","0.149","0.095","0.270","0.243","0.214","0.215","0.142","11","74","82.5","11.4","1235","86.0","85.59","49","128","154","-0.4","5.93","112","158","119","151","300","319","296"
"273",641816,"Tyler Mahle","2211","12.3","0.247","0.118","0.333","0.366","0.266","0.237","0.209","23","93","86.8","-1.2","1632","87.0","87.28","47","168","104","0.3","6.26","116","158","120","148","294","319","292"
"271",593423,"Frankie Montas","1485","18.2","0.160","0.111","0.234","0.272","0.207","0.209","0.168","13","81","80.2","1.1","1636","86.8","85.32","60","149","120","-1.5","5.29","112","148","121","152","294","322","297"
"269",592773,"Ryne Stanek","1300","20.7","0.094","0.047","0.208","0.141","0.133","0.146","0.101","6","64","83.9","7.6","1103","88.3","87.38","71","124","145","-0.9","5.70","111","157","117","149","295","325","297"
"246",663423,"Trent Thornton","2759","8.9","0.120","0.040","0.167","0.160","0.151","0.212","0.187","6","50","84.5","5.9","1509","83.3","82.55","24","97","149","-0.7","5.73","113","156","115","150","296","324","304"
"230",502188,"Jeff Samardzija","3006","7.7","0.306","0.194","0.455","0.500","0.353","0.333","0.264","11","36","87.7","19.3","1451","82.3","81.88","43","103","125","-0.4","5.82","116","156","116","151","296","328","303"
"196",472610,"Luis Garcia","1053","18.6","0.115","0.058","0.179","0.173","0.171","0.200","0.137","6","52","85.9","6.0","1060","86.7","86.76","43","96","97","0.1","6.17","115","147","115","148","291","317","295"
"182",657053,"Touki Toussaint","777","23.4","0.121","0.000","0.250","0.121","0.155","0.200","0.124","4","33","88.2","12.3","1465","86.4","87.43","45","87","94","1.0","6.58","107","150","114","150","307","327","296"
"174",664062,"Tony Gonsolin","693","25.1","0.182","0.068","0.286","0.250","0.210","0.273","0.227","8","44","86.1","15.7","1998","86.6","85.70","36","93","80","-0.9","5.62","116","163","121","146","297","322","300"
"171",543135,"Nathan Eovaldi","1264","13.5","0.184","0.132","0.207","0.316","0.226","0.238","0.199","7","38","87.9","3.4","1578","87.9","87.47","20","81","89","-0.4","5.85","110","151","114","149","285","321","292"
"149",461325,"Tyler Clippard","937","15.9","0.186","0.153","0.303","0.339","0.214","0.195","0.177","11","59","86.2","14.3","1138","81.8","80.60","30","94","55","-1.2","5.61","113","153","124","151","288","313","290"
"142",521655,"Wilmer Font","1541","9.2","0.179","0.071","0.208","0.250","0.222","0.246","0.195","5","28","83.1","3.1","1333","84.7","85.20","18","64","78","0.5","6.53","116","155","112","149","302","323","300"
"136",533167,"Matt Shoemaker","418","32.5","0.163","0.140","0.217","0.302","0.214","0.233","0.166","7","43","86.0","7.0","1167","84.3","83.47","38","88","48","-0.8","5.76","112","150","118","148","294","315","292"
"121",665093,"Zac Grotz","299","40.5","0.192","0.038","0.250","0.231","0.201","0.320","0.312","5","26","91.5","2.0","1025","82.3","82.20","16","56","64","-0.1","6.27","110","158","121","149","299","324","296"
"115",606131,"Luis Perdomo","1044","11.0","0.115","0.038","0.136","0.154","0.173","0.336","0.261","3","26","87.1","3.7","1569","88.5","87.86","16","58","57","-0.6","5.82","117","150","116","150","303","328","308"
"111",607188,"Jake Faria","408","27.2","0.208","0.167","0.250","0.375","0.266","0.309","0.232","5","24","82.9","-2.7","1143","82.4","81.92","25","55","55","-0.5","5.89","112","157","117","151","297","321","300"
"108",506433,"Yu Darvish","2848","3.8","0.111","0.167","0.125","0.278","0.156","0.152","0.125","4","36","86.7","7.7","1438","88.6","88.50","20","51","57","-0.1","6.07","115","151","115","152","293","320","296"
"102",450203,"Charlie Morton","3139","3.2","0.318","0.318","0.263","0.636","0.415","0.486","0.384","7","22","94.1","8.6","2124","84.9","84.01","12","49","52","-0.9","5.92","110","156","107","151","288","320","301"
"101",542914,"Anthony Bass","738","13.7","0.111","0.074","0.158","0.185","0.121","0.173","0.180","3","27","86.3","2.7","1229","86.6","86.23","17","49","51","-0.4","5.96","110","155","112","148","293","322","299"
"91",607200,"Erick Fedde","1287","7.1","0.263","0.158","0.313","0.421","0.290","0.363","0.283","5","19","91.7","4.7","1624","85.3","85.67","8","37","54","0.4","6.32","119","150","111","150","293","316","300"
