"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"60",606160,"Rafael Montero","289","20.8","0.200","0.067","0.250","0.267","0.255","0.332","0.283","3","15","82.5","23.6","2067","89.1","89.13","9","31","29","0.0","6.26","116","161","114","152","298","322","300"
"60",656794,"Sean Newcomb","300","20.0","0.143","0.214","0.100","0.357","0.289","0.341","0.237","2","14","82.6","-0.4","1570","87.0","86.78","7","23","36","-0.2","5.98","103","150","115","150","309","333","297"
"60",642528,"Jonathan Loaisiga","394","15.2","0.111","0.056","0.167","0.167","0.175","0.217","0.164","2","18","74.3","-14.8","1701","88.8","88.84","15","37","22","0.0","6.37","112","147","117","147","283","316","287"
"60",542960,"Brad Brach","250","24.0","0.182","0.000","0.333","0.182","0.240","0.249","0.182","2","11","83.9","-1.3","1869","83.3","81.86","11","30","30","-1.4","5.45","118","153","122","145","295","316","292"
"59",453172,"Jared Hughes","412","14.3","0.143","0.071","0.167","0.214","0.185","0.296","0.292","2","14","85.3","12.6","1553","84.3","84.88","8","27","30","0.6","6.62","114","150","126","145","293","317","294"
"59",605347,"Jorge Lopez","635","9.3","0.267","0.200","0.300","0.467","0.331","0.334","0.254","4","15","89.6","14.2","1582","86.1","86.10","10","27","31","0.0","6.31","103","150","113","148","297","322","299"
"57",676606,"Nick Margevicius","679","8.4","0.267","0.133","0.444","0.400","0.304","0.185","0.153","4","15","88.8","8.1","1421","82.1","82.86","8","22","35","0.8","6.60","109","154","120","146","301","326","290"
"57",433589,"Yusmeiro Petit","315","18.1","0.111","0.000","0.143","0.111","0.156","0.283","0.200","2","18","83.4","16.1","1753","81.3","81.27","11","34","23","0.0","7.18","118","150","121","156","298","329","308"
"57",642545,"Jaime Barria","511","11.2","0.294","0.176","0.286","0.471","0.341","0.283","0.241","5","17","83.1","14.4","1510","84.2","83.72","6","27","29","-0.5","5.94","115","155","116","155","305","323","303"
"56",663474,"Triston McKenzie","550","10.2","0.286","0.500","0.200","0.786","0.444","0.414","0.288","4","14","88.5","1.7","1654","86.8","88.13","5","20","36","1.3","6.97","107","153","116","153","287","324","297"
"56",670329,"Rico Garcia","177","31.6","0.000","0.000","0.000","0.000","0.000","0.107","0.101","0","4","84.3","21.0","2026","85.7","85.36","11","21","35","-0.3","5.99","108","156","119","148","295","316","293"
"56",656322,"Sam Coonrod","297","18.9","0.188","0.250","0.222","0.438","0.279","0.199","0.132","3","16","85.9","9.0","1787","88.8","88.93","10","24","31","0.1","6.15","106","156","121","148","296","316","293"
"56",607231,"John Gant","240","23.3","0.083","0.000","0.167","0.083","0.161","0.216","0.131","1","12","79.4","30.0","1544","81.8","82.01","16","31","25","0.2","6.37","111","151","116","147","301","324","302"
"56",643327,"Zack Godley","553","10.1","0.455","0.364","0.444","0.818","0.524","0.393","0.346","5","11","88.5","13.6","1699","83.1","81.98","8","27","29","-1.1","5.43","113","150","116","148","283","325","294"
"55",657097,"Jacob Webb","168","32.7","0.333","0.083","0.571","0.417","0.347","0.273","0.263","4","12","87.7","16.4","2164","82.4","81.95","14","31","24","-0.5","6.15","111","150","118","151","308","329","299"
"55",519008,"T.J. McFarland","331","16.6","0.313","0.063","0.385","0.375","0.317","0.335","0.307","5","16","90.9","9.0","1673","81.8","80.89","12","34","21","-0.9","5.64","107","149","124","149","304","327","298"
"55",622075,"Yency Almonte","446","12.3","0.556","0.000","0.625","0.556","0.524","0.408","0.360","5","9","84.9","-0.9","1789","87.9","88.75","13","28","26","0.9","6.62","119","152","115","150","301","327","305"
"54",608032,"Carlos Estevez","436","12.4","0.462","0.231","0.500","0.692","0.497","0.413","0.389","6","13","83.0","14.0","1681","88.7","88.84","4","25","29","0.1","6.31","117","155","118","150","304","328","305"
"54",608717,"Chris Stratton","547","9.9","0.273","0.000","0.375","0.273","0.237","0.237","0.255","3","11","79.5","-12.8","2198","86.4","87.35","13","24","30","1.0","6.70","109","144","116","148","287","318","302"
"54",615698,"Cal Quantrill","504","10.7","0.231","0.077","0.273","0.308","0.289","0.254","0.199","3","13","80.2","15.1","1608","85.5","86.17","7","25","28","0.7","6.51","113","151","141","149","298","329","310"
"54",605182,"Mike Clevinger","649","8.3","0.167","0.000","0.200","0.167","0.223","0.307","0.261","2","12","76.8","8.8","1479","87.2","88.40","5","20","34","1.2","6.86","109","152","114","151","292","316","302"
"53",665621,"Rony Garcia","393","13.5","0.167","0.000","0.200","0.167","0.145","0.247","0.224","2","12","80.4","4.4","1885","88.0","87.41","4","23","30","-0.6","5.92","114","148","118","149","295","327","289"
"53",572888,"Shane Greene","398","13.3","0.167","0.333","0.125","0.500","0.277","0.227","0.142","2","12","88.6","4.0","1560","86.0","85.15","7","25","27","-0.8","5.64","110","149","112","153","298","331","302"
"52",500610,"Deolis Guerra","130","40.0","0.316","0.316","0.333","0.632","0.403","0.275","0.186","6","19","81.5","2.2","1570","82.5","83.73","12","35","16","1.2","7.07","111","150","118","147","295","324","295"
"52",547942,"Kwang Hyun Kim","613","8.5","0.000","0.000","0.000","0.000","0.000","0.209","0.224","0","11","83.8","8.8","1597","80.3","80.95","8","22","30","0.6","6.66","108","150","114","148","305","320","298"
"52",501381,"Michael Pineda","455","11.4","0.235","0.000","0.235","0.235","0.205","0.239","0.254","4","17","78.9","8.8","1726","85.6","85.57","2","29","22","0.0","6.19","108","155","113","151","297","330","296"
"52",650893,"Genesis Cabrera","397","13.1","0.250","0.333","0.286","0.583","0.363","0.354","0.260","3","12","82.9","-6.3","1819","88.5","87.56","17","27","25","-0.9","5.73","103","149","113","146","304","325","299"
"52",606424,"Jarlin Garcia","284","18.3","0.200","0.000","0.250","0.200","0.194","0.210","0.205","3","15","83.0","13.6","2158","85.9","86.09","7","28","24","0.2","6.36","105","150","115","143","297","316","286"
"52",593833,"Wander Suero","381","13.6","0.316","0.000","0.400","0.316","0.317","0.319","0.298","6","19","83.0","2.1","2073","86.2","86.29","9","33","17","0.1","6.26","110","149","125","143","293","312","295"
"51",605242,"Michael Fulmer","528","9.7","0.444","0.111","0.571","0.556","0.473","0.451","0.426","4","9","89.3","12.7","1662","86.7","87.25","7","19","32","0.5","6.42","114","150","117","150","296","325","294"
"51",453268,"Daniel Bard","404","12.6","0.143","0.000","0.167","0.143","0.124","0.219","0.217","1","7","82.6","-8.8","2126","89.7","89.59","5","18","33","-0.1","6.14","118","154","118","150","302","326","305"
"51",642203,"Taylor Widener","364","14.0","0.214","0.214","0.182","0.429","0.318","0.312","0.236","3","14","78.7","-7.8","1857","86.3","87.14","8","28","22","0.8","7.01","116","159","128","154","303","332","306"
"51",592346,"Chi Chi Gonzalez","347","14.7","0.300","0.000","0.300","0.300","0.335","0.399","0.355","3","10","87.3","2.8","1877","87.1","87.02","6","27","23","-0.1","5.88","119","153","117","149","303","335","305"
"50",643290,"Justin Dunn","801","6.2","0.375","0.375","0.333","0.750","0.486","0.514","0.421","3","8","99.9","23.4","1854","87.1","87.29","3","21","29","0.2","6.38","115","163","124","149","294","328","299"
"50",579328,"Yusei Kikuchi","795","6.3","0.273","0.000","0.375","0.273","0.237","0.269","0.292","3","11","78.8","-26.3","1453","86.8","87.92","6","16","33","1.1","6.89","103","151","121","145","296","328","289"
"50",663903,"Brady Singer","1071","4.7","0.167","0.083","0.200","0.250","0.174","0.260","0.279","2","12","81.8","1.6","2164","87.8","88.47","3","18","32","0.7","6.56","118","163","110","150","297","329","310"
"49",608665,"Kendall Graveman","329","14.9","0.167","0.083","0.200","0.250","0.174","0.268","0.277","2","12","90.9","-4.2","1766","88.4","88.83","5","27","22","0.4","6.42","106","155","116","147","288","325","297"
"49",621107,"Zach Eflin","913","5.4","0.375","0.000","0.500","0.375","0.367","0.345","0.331","3","8","71.9","10.3","1825","87.8","88.68","8","25","24","0.9","6.88","117","152","118","151","291","325","301"
"48",606996,"Kyle Hart","260","18.5","0.417","0.167","0.455","0.583","0.441","0.339","0.286","5","12","82.2","25.2","1679","79.7","80.03","9","25","23","0.3","6.39","105","149","118","143","278","319","286"
"47",657624,"Josh James","340","13.8","0.143","0.286","0.167","0.429","0.285","0.295","0.188","2","14","83.1","8.7","1546","88.8","88.89","10","22","23","0.1","6.31","113","155","119","150","286","318","301"
"47",605138,"Wes Benjamin","389","12.1","0.400","0.600","0.333","1.000","0.574","0.571","0.435","4","10","94.3","11.3","1804","84.5","84.03","13","29","18","-0.5","5.93","106","154","115","149","301","316","290"
"47",621141,"Walker Lockett","230","20.4","0.400","0.067","0.429","0.467","0.371","0.329","0.342","6","15","84.7","15.2","1617","86.9","87.07","3","29","17","0.2","6.31","116","153","132","147","294","320","292"
"47",445213,"Brandon Kintzler","343","13.7","0.313","0.063","0.385","0.375","0.317","0.257","0.247","5","16","80.7","11.0","2068","86.0","86.25","5","22","25","0.2","6.50","111","151","113","149","289","315","294"
"46",622253,"Dillon Tate","285","16.1","0.125","0.000","0.167","0.125","0.173","0.222","0.171","1","8","78.3","7.7","1710","83.7","83.33","6","21","25","-0.4","6.14","110","161","115","149","295","321","300"
"46",621366,"Ryan Borucki","322","14.3","0.429","0.571","0.500","1.000","0.590","0.394","0.269","3","7","94.3","30.8","2005","85.0","85.09","13","26","20","0.1","6.37","98","151","114","146","303","311","284"
"46",621129,"Kyle Cody","370","12.4","0.273","0.182","0.333","0.455","0.330","0.425","0.387","3","11","85.9","3.3","2036","86.1","83.86","7","21","25","-2.2","6.12","112","167","113","152","303","319","296"
"46",542585,"Jose Cisnero","519","8.9","0.000","0.000","0.000","0.000","0.000","0.231","0.236","0","11","83.5","4.3","1659","90.8","88.59","2","15","31","-2.2","6.09","111","146","108","149","293","327","289"
"46",622772,"Jimmy Cordero","424","10.8","0.353","0.471","0.308","0.824","0.487","0.402","0.307","6","17","86.3","17.8","1657","88.5","89.90","6","28","17","1.4","6.98","114","149","113","149","292","319","299"
"46",650530,"Bryan Garcia","332","13.9","0.300","0.000","0.333","0.300","0.261","0.338","0.371","3","10","77.2","9.4","1894","86.7","86.01","8","22","24","-0.7","6.00","114","145","115","148","291","326","293"
"45",607192,"Tyler Glasnow","964","4.7","0.333","0.500","0.200","0.833","0.468","0.413","0.370","2","6","94.1","-3.2","1784","91.1","93.27","6","15","30","2.2","7.54","111","156","118","150","301","323","295"
"45",621078,"Brady Lail","300","15.0","0.000","0.000","0.000","0.000","0.144","0.333","0.255","0","4","93.5","8.8","1697","85.9","85.81","5","17","27","-0.1","6.09","117","161","122","150","292","321","298"
"45",570666,"Luis Cessa","360","12.5","0.316","0.105","0.333","0.421","0.311","0.288","0.306","6","19","87.5","8.6","1649","87.5","86.94","8","31","14","-0.6","5.87","117","149","125","152","285","320","291"
"45",572020,"James Paxton","356","12.6","0.000","0.000","0.000","0.000","0.259","0.351","0.094","0","5","96.6","28.0","2220","82.0","82.35","13","19","26","0.4","6.60","106","149","122","146","299","327","281"
"44",669160,"Dustin May","866","5.1","0.091","0.000","0.111","0.091","0.130","0.276","0.237","1","11","89.1","3.9","1937","90.7","91.11","4","24","20","0.4","6.53","113","170","126","152","293","322","298"
"44",592165,"Brandon Brennan","117","37.6","0.000","0.000","0.000","0.000","0.197","0.232","0.047","0","5","82.3","43.3","1665","83.6","82.61","7","17","27","-1.0","5.74","107","151","125","147","286","322","295"
"44",608331,"Max Fried","899","4.9","0.200","0.000","0.222","0.200","0.174","0.187","0.197","2","10","73.3","-2.7","1545","83.1","83.47","6","22","22","0.4","6.45","108","152","117","151","310","331","299"
"44",467100,"Ivan Nova","284","15.5","0.000","0.000","0.000","0.000","0.000","0.289","0.311","0","10","77.4","-10.2","2041","86.4","86.02","4","24","20","-0.4","6.11","109","146","114","148","292","326","285"
"43",608334,"Carson Fulmer","188","22.9","0.167","0.000","0.250","0.167","0.225","0.247","0.186","2","12","88.7","13.3","1388","86.1","86.16","9","20","22","0.1","6.33","115","149","117","147","296","326","288"
"43",642701,"Dennis Santana","284","15.1","0.091","0.091","0.143","0.182","0.200","0.284","0.224","1","11","79.8","18.6","2153","86.7","86.20","6","19","24","-0.5","5.99","111","162","128","150","292","318","295"
"43",607179,"Jordan Weems","222","19.4","0.091","0.000","0.250","0.091","0.073","0.022","0.023","1","11","85.8","18.5","1307","86.0","84.48","13","21","22","-1.5","6.58","117","147","125","152","296","324","303"
"43",543101,"Anthony DeSclafani","602","7.1","0.167","0.000","0.200","0.167","0.223","0.368","0.340","1","6","89.3","-12.6","1553","88.5","89.34","6","17","25","0.8","6.67","116","154","115","154","291","321","297"
"42",676604,"Tyler Zuber","412","10.2","0.167","0.500","0.000","0.667","0.376","0.501","0.327","1","6","79.8","-5.8","1363","86.1","85.98","2","14","28","-0.1","6.10","112","160","118","147","299","327","309"
"42",642584,"Franklyn Kilome","229","18.3","0.400","0.000","0.500","0.400","0.446","0.398","0.309","2","5","68.5","-2.2","1687","85.5","86.06","4","15","27","0.6","6.63","119","148","133","144","297","319","297"
"42",621261,"Corey Oswalt","223","18.8","0.000","0.000","0.000","0.000","0.000","0.095","0.090","0","8","81.5","4.0","1642","85.8","86.64","7","18","23","0.8","6.82","113","148","119","143","287","325","296"
