"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"199",650530,"Bryan Garcia","332","59.9","0.250","0.042","0.279","0.292","0.311","0.370","0.310","12","48","89.7","16.9","2186","94.4","93.83","13","98","100","-0.6","5.98","107","147","115","145","297","325","289"
"198",519008,"T.J. McFarland","331","59.8","0.268","0.286","0.229","0.554","0.358","0.363","0.294","15","56","91.9","-3.1","1957","88.5","87.45","6","87","110","-1.0","5.67","110","149","123","150","301","327","301"
"197",527054,"Julio Teheran","572","34.4","0.224","0.204","0.225","0.429","0.320","0.351","0.284","11","49","90.5","2.9","2216","88.7","88.77","12","93","103","0.1","6.39","110","151","119","148","303","321","293"
"197",660813,"Brusdar Graterol","291","67.7","0.263","0.088","0.259","0.351","0.273","0.295","0.271","15","57","89.3","-3.8","1977","99.3","98.23","7","102","92","-1.1","5.59","111","158","120","147","303","321","292"
"195",642232,"Ryan Yarbrough","834","23.4","0.243","0.054","0.257","0.297","0.287","0.324","0.265","9","37","85.9","6.7","1952","87.3","87.61","14","85","106","0.3","6.58","107","154","115","147","294","315","295"
"193",666200,"Jesus Luzardo","940","20.5","0.279","0.206","0.276","0.485","0.346","0.363","0.317","19","68","89.4","4.9","2368","95.4","93.89","8","89","104","-1.5","5.60","108","148","122","149","299","322","296"
"193",570240,"Felix Pena","460","42.0","0.306","0.163","0.311","0.469","0.345","0.338","0.288","15","49","90.6","7.2","2210","94.5","94.08","10","83","109","-0.4","6.11","110","151","119","148","305","323","295"
"191",573124,"Taylor Rogers","358","53.4","0.366","0.195","0.448","0.561","0.408","0.317","0.273","15","41","95.0","1.5","2139","94.6","94.07","13","85","103","-0.5","5.97","102","151","114","146","301","331","292"
"190",605488,"Jeffrey Springs","405","46.9","0.316","0.316","0.450","0.632","0.416","0.374","0.278","12","38","90.1","15.7","2229","92.1","92.58","37","93","96","0.5","6.67","109","150","118","147","281","322","293"
"188",518858,"Nate Jones","361","52.1","0.421","0.211","0.452","0.632","0.448","0.386","0.343","16","38","97.0","17.5","2457","95.9","95.21","16","90","97","-0.7","5.91","110","153","121","146","295","320","290"
"184",641745,"Brad Keller","858","21.4","0.294","0.059","0.294","0.353","0.312","0.357","0.321","10","34","89.5","0.5","2205","92.3","92.36","12","72","110","0.1","6.01","106","153","117","145","302","327","301"
"183",527048,"Martin Perez","1033","17.7","0.260","0.140","0.293","0.400","0.334","0.324","0.227","13","50","82.2","7.9","1951","91.9","91.40","6","77","104","-0.5","6.02","107","149","115","145","284","322","295"
"183",605242,"Michael Fulmer","528","34.7","0.451","0.196","0.477","0.647","0.477","0.383","0.336","23","51","89.7","10.4","2041","93.0","93.57","5","81","102","0.6","6.56","107","148","114","146","300","326","292"
"177",608566,"German Marquez","1226","14.4","0.339","0.102","0.345","0.441","0.343","0.388","0.379","20","59","91.6","3.0","2143","94.7","93.37","7","97","80","-1.3","5.36","105","150","112","146","302","329","301"
"173",457918,"J.A. Happ","787","22.0","0.135","0.115","0.139","0.250","0.187","0.239","0.202","7","52","86.6","-6.5","2173","89.3","89.05","24","110","63","-0.2","6.13","115","150","122","151","291","321","289"
"171",488984,"Tommy Hunter","410","41.7","0.250","0.125","0.321","0.375","0.301","0.335","0.300","10","40","86.0","4.4","2483","92.6","92.75","13","66","104","0.1","6.46","107","149","118","145","299","326","294"
"170",571901,"Aaron Loup","341","49.9","0.225","0.175","0.308","0.400","0.307","0.296","0.232","9","40","84.0","1.3","2159","92.0","91.77","14","82","84","-0.2","6.46","110","150","111","149","296","315","295"
"168",518553,"Steve Cishek","374","44.9","0.395","0.395","0.355","0.789","0.494","0.442","0.338","15","38","93.0","18.6","2319","90.4","92.78","9","77","90","2.4","7.67","111","149","119","148","294","319","295"
"165",570632,"Jose Urena","396","41.7","0.375","0.250","0.382","0.625","0.445","0.421","0.343","15","40","92.5","5.0","2177","95.3","95.01","21","88","76","-0.3","6.26","101","148","114","146","308","321","293"
"164",518397,"Scott Alexander","202","81.2","0.231","0.154","0.233","0.385","0.322","0.349","0.263","9","39","89.5","-9.0","2196","93.1","92.83","17","82","82","-0.3","6.05","110","157","113","147","299","316","291"
"161",534910,"Jesse Hahn","292","55.1","0.088","0.000","0.111","0.088","0.155","0.237","0.172","3","34","87.5","18.3","2268","94.9","95.20","12","71","90","0.3","6.44","110","156","117","147","303","327","301"
"160",657612,"Tim Hill","348","46.0","0.342","0.158","0.353","0.500","0.394","0.371","0.335","13","38","84.0","-8.0","2100","89.8","90.75","10","80","78","1.0","7.11","110","149","120","149","296","328","310"
"159",642770,"Javy Guerra","235","67.7","0.431","0.118","0.477","0.549","0.429","0.368","0.336","22","51","91.4","3.7","2143","98.4","98.31","12","91","68","-0.1","6.14","115","148","126","148","303","333","311"
"159",571670,"Dylan Floro","371","42.9","0.229","0.057","0.276","0.286","0.237","0.267","0.243","8","35","84.8","5.3","2248","93.4","93.49","10","58","101","0.1","6.34","108","156","116","147","303","316","289"
"156",642092,"Riley Smith","250","62.4","0.263","0.079","0.360","0.342","0.289","0.289","0.245","10","38","87.6","11.7","2283","93.3","93.23","9","63","93","-0.1","6.38","112","153","122","149","310","333","302"
"154",493603,"Adam Ottavino","339","45.4","0.250","0.139","0.333","0.389","0.318","0.287","0.212","9","36","91.7","-3.9","2217","93.4","94.94","9","56","98","1.5","7.21","106","148","116","148","293","322","284"
"154",621366,"Ryan Borucki","322","47.8","0.259","0.074","0.304","0.333","0.351","0.348","0.253","7","27","88.4","4.5","2168","94.8","94.78","3","55","98","0.0","6.35","107","151","119","146","292","311","288"
"152",624647,"Victor Gonzalez","290","52.4","0.250","0.028","0.273","0.278","0.246","0.247","0.200","9","36","88.2","-7.2","2171","94.9","94.80","14","73","78","-0.1","6.32","111","159","116","147","298","318","293"
"151",642083,"Aaron Slegers","387","39.0","0.135","0.000","0.167","0.135","0.148","0.221","0.200","5","37","87.5","2.2","1929","91.2","92.72","19","87","63","1.5","7.23","105","154","116","146","306","321","292"
"150",676220,"Seth Elledge","231","64.9","0.308","0.423","0.353","0.731","0.462","0.398","0.274","8","26","92.9","18.4","2318","93.3","93.12","12","60","89","-0.2","6.28","112","148","113","145","300","321","297"
"150",572888,"Shane Greene","398","37.7","0.275","0.100","0.303","0.375","0.321","0.304","0.258","11","40","90.1","4.9","2143","92.0","91.13","4","61","88","-0.9","5.74","106","149","113","150","303","328","297"
"149",657277,"Logan Webb","998","14.9","0.323","0.097","0.345","0.419","0.338","0.278","0.256","10","31","86.0","-11.8","1992","91.9","84.22","6","64","84","-7.7","6.53","103","151","113","144","300","320","286"
"149",621237,"Jose Alvarado","194","76.8","0.259","0.259","0.263","0.519","0.376","0.406","0.286","7","27","87.6","10.6","2076","96.9","97.81","15","62","85","0.9","6.85","104","146","111","143","298","315","291"
"146",663554,"Casey Mize","543","26.9","0.241","0.241","0.185","0.483","0.355","0.434","0.342","7","29","83.8","1.2","2161","93.6","94.24","6","67","76","0.6","6.64","111","147","114","147","297","329","290"
"146",543022,"Tyler Chatwood","333","43.8","0.344","0.125","0.407","0.469","0.397","0.435","0.361","11","32","90.8","2.0","2493","94.2","94.29","9","64","82","0.1","6.28","109","154","115","149","291","324","296"
"142",452657,"Jon Lester","1008","14.1","0.257","0.029","0.300","0.286","0.234","0.239","0.226","9","35","88.4","-13.3","2086","88.6","89.36","11","62","80","0.8","6.56","105","152","113","147","302","329","294"
"138",450203,"Charlie Morton","660","20.9","0.351","0.027","0.351","0.378","0.344","0.291","0.266","13","37","88.7","-7.0","2157","93.0","93.30","8","71","66","0.3","6.57","105","152","113","146","303","320","288"
"138",607625,"Seth Lugo","610","22.6","0.321","0.143","0.400","0.464","0.375","0.395","0.341","9","28","93.3","2.4","2251","93.2","92.99","12","55","81","-0.2","6.14","114","147","122","143","294","317","293"
"136",543101,"Anthony DeSclafani","602","22.6","0.300","0.240","0.333","0.540","0.394","0.358","0.274","15","50","86.9","4.3","2078","94.9","95.64","4","63","72","0.7","6.65","111","151","122","147","295","319","289"
"134",664350,"Sixto Sanchez","559","24.0","0.368","0.026","0.400","0.395","0.356","0.275","0.258","14","38","83.7","-2.3","2098","96.6","96.00","11","74","60","-0.6","6.05","102","152","112","147","304","316","293"
"134",572955,"Pierce Johnson","310","43.2","0.269","0.154","0.300","0.423","0.374","0.408","0.319","7","26","92.3","27.4","2321","96.3","95.31","16","54","80","-1.0","5.76","111","147","126","147","302","331","310"
