"pitches","player_id","player_name","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"1174",605400,"Aaron Nola","3332","35.2","0.201","0.127","0.288","0.328","0.259","0.279","0.217","60","299","87.2","8.2","2574","79.1","78.56","199","578","585","-0.5","6.09","110","151","117","150","299","323","293"
"1172",450203,"Charlie Morton","3139","37.3","0.151","0.077","0.250","0.228","0.185","0.200","0.167","47","311","82.9","8.5","2886","78.6","77.18","207","544","618","-1.4","5.59","108","155","116","148","292","323","298"
"1037",544931,"Stephen Strasburg","3384","30.6","0.161","0.078","0.262","0.239","0.200","0.213","0.174","37","230","84.1","5.0","2773","81.2","81.23","161","411","616","0.0","6.32","114","150","112","148","303","315","295"
"1025",425794,"Adam Wainwright","2876","35.6","0.240","0.120","0.318","0.360","0.281","0.285","0.231","60","250","86.7","6.8","2752","74.9","73.94","110","435","582","-1.0","5.92","113","151","111","149","297","323","299"
"904",621244,"Jose Berrios","3132","28.9","0.245","0.168","0.299","0.414","0.295","0.294","0.230","54","220","85.4","15.8","2334","81.2","80.49","115","396","498","-0.7","5.91","108","153","114","146","299","323","294"
"812",593334,"Domingo German","2247","36.1","0.189","0.195","0.300","0.384","0.266","0.250","0.191","36","190","89.9","13.2","2599","81.7","80.52","170","377","433","-1.2","5.36","109","154","117","150","294","326","292"
"745",543475,"Jordan Lyles","2456","30.3","0.216","0.153","0.333","0.369","0.275","0.260","0.210","38","176","90.0","3.7","2491","80.6","80.59","93","321","423","0.0","6.25","109","152","119","150","306","321","297"
"744",500779,"Jose Quintana","2826","26.3","0.242","0.163","0.279","0.404","0.279","0.296","0.250","43","178","88.2","12.9","2215","77.0","76.22","84","316","425","-0.8","5.69","110","151","110","149","297","320","295"
"724",545333,"Trevor Bauer","3687","19.6","0.168","0.110","0.267","0.277","0.200","0.236","0.206","26","155","88.9","1.5","2549","79.1","78.07","99","308","410","-1.0","5.88","112","153","115","148","288","310","290"
"714",543243,"Sonny Gray","2909","24.5","0.131","0.076","0.178","0.207","0.179","0.236","0.186","19","145","87.1","2.3","2988","81.9","81.00","85","278","432","-0.9","5.91","120","157","116","148","291","316","293"
